#          k           1          b1       b1*b1
        0.01     1829.31     7653.05     14407.7
   0.0104443     1858.81     7776.45       14640
   0.0109083     1886.52     7892.39     14858.3
   0.0113929     1912.12     7999.49     15059.9
    0.011899     1935.47     8097.15     15243.8
   0.0124277     1956.28     8184.22     15407.7
   0.0129798     1974.35     8259.82       15550
   0.0135564     1989.51     8323.27     15669.5
   0.0141587      2001.6     8373.85     15764.7
   0.0147878     2010.15      8409.6       15832
   0.0154447     2014.53     8427.95     15866.6
   0.0161309     2015.03     8430.05     15870.6
   0.0168475      2013.3     8422.82       15857
    0.017596     2010.16     8409.66     15832.2
   0.0183777     2003.38     8381.34     15778.9
   0.0191942     1990.24     8326.35     15675.5
   0.0200469     1970.04     8241.84     15516.4
   0.0209375     1943.13     8129.31     15304.6
   0.0218677     1910.62     7993.31     15048.6
   0.0228392     1874.47     7842.09       14764
   0.0238539     1835.93     7680.87     14460.6
   0.0249137     1794.67     7508.26     14135.7
   0.0260205     1750.04     7321.57     13784.3
   0.0271765     1701.86     7120.07     13405.1
   0.0283839      1650.2     6903.96     12998.4
   0.0296449     1595.23     6674.01     12565.6
   0.0309619     1537.38     6432.04     12110.2
   0.0323375     1478.21     6184.58     11644.6
   0.0337741     1421.35     5946.74       11197
   0.0352746     1369.41     5729.48     10788.2
   0.0368417     1319.46      5520.6     10395.3
   0.0384785     1267.07     5301.51     9983.11
    0.040188     1212.23     5072.19     9551.71
   0.0419734     1157.77     4844.43     9123.31
   0.0438381     1106.18     4628.69     8717.58
   0.0457857     1059.59     4433.92      8351.4
   0.0478198     1019.28     4265.42     8034.74
   0.0499443     984.643     4120.69     7762.95
   0.0521632     954.253     3993.76     7524.78
   0.0544806     926.726     3878.84     7309.34
    0.056901     900.506     3769.41     7104.38
   0.0594289     874.175     3659.56     6898.76
   0.0620692     846.618     3544.62      6683.7
   0.0648267     816.953     3420.88      6452.2
   0.0677067     785.186     3288.38     6204.32
   0.0707147     751.268      3146.9     5939.61
   0.0738564     714.354     2992.89     5651.33
   0.0771375      673.33     2821.63     5330.45
   0.0805645      628.61     2634.86     4980.07
   0.0841437     581.931     2439.74     4613.49
    0.087882      535.44     2245.22     4247.39
   0.0917863     491.829     2062.53     3902.66
   0.0958641     453.439     1901.48      3597.9
    0.100123     421.041     1765.62      3340.9
    0.104571      395.09      1656.9     3135.32
    0.109217     376.036     1576.49     2980.92
    0.114069     361.485     1514.87     2861.78
    0.119137     348.965     1461.92     2759.64
     0.12443      335.48      1405.1     2650.99
    0.129958     318.594     1334.14        2516
    0.135731     298.043     1247.82     2352.04
    0.141761     274.306     1148.04     2162.34
    0.148059     249.557     1043.93     1964.05
        0.15      242.42     1013.89     1906.82
    0.154637     226.941     948.782     1782.87
    0.157895     217.466     908.952     1707.16
    0.161507     208.272     870.352        1634
    0.165789     199.131     832.056     1561.75
    0.168682      193.99       810.6      1521.6
    0.173684      186.63     780.038     1465.02
    0.176176     183.442     766.858     1440.88
    0.181579     176.943     740.061     1392.03
    0.184003     173.976     727.799     1369.57
    0.189474     166.773     697.913     1314.31
    0.192178     162.978     682.097     1284.76
    0.197368     155.429     650.519     1225.32
    0.200716     150.461     629.671     1185.81
    0.205263      143.69     601.195      1131.6
    0.209633      137.31     574.306     1080.18
    0.213158     132.375     553.476     1040.23
    0.218946     124.858     521.742     979.346
    0.221053     122.351     511.173     959.133
    0.228673     114.548     478.441     897.207
    0.228947     114.304     477.423     895.308
    0.236842     108.014     451.376     847.435
    0.238833     106.594     445.535     836.866
    0.244737     102.565     428.985     807.012
    0.249443     99.3869     415.876     783.125
    0.252632     97.1916     406.762     766.257
    0.260525      91.717     383.855     723.083
    0.260526     91.7162     383.852     723.077
    0.268421     86.3925     361.421     680.146
    0.272099     84.0214     351.414     660.929
    0.276316      81.439     340.525     640.065
    0.284188     76.9839     321.802     604.476
    0.284211     76.9717     321.751      604.38
    0.292105     72.9392     304.874      572.61
    0.296814     70.7063     295.551     555.163
         0.3     69.2645     289.538     543.933
        0.31     65.0048      271.78     510.797
        0.01      5226.6     15306.1  -0.0408593
   0.0104443     5310.88     15552.9  -0.0494115
   0.0109083     5390.05     15784.7  -0.0597354
   0.0113929      5463.2       15999  -0.0721845
    0.011899      5529.9     16194.3  -0.0871657
   0.0124277     5589.35     16368.4   -0.105124
   0.0129798     5640.98     16519.6   -0.126544
   0.0135564     5684.31     16646.5   -0.151952
   0.0141587     5718.85     16747.6   -0.181941
   0.0147878     5743.26     16819.1   -0.217189
   0.0154447     5755.78     16855.8   -0.258528
   0.0161309     5757.21     16859.9   -0.307154
   0.0168475     5752.26     16845.5   -0.364852
    0.017596     5743.27     16819.1   -0.433681
   0.0183777     5723.91     16762.4   -0.515131
   0.0191942     5686.35     16652.4   -0.609981
   0.0200469     5628.62     16483.4   -0.718863
   0.0209375     5551.75     16258.2   -0.842651
   0.0218677     5458.84     15986.2   -0.983432
   0.0228392     5355.54     15683.6     -1.1456
   0.0238539     5245.41     15361.1    -1.33715
   0.0249137     5127.49     15015.8    -1.55458
   0.0260205     4999.96     14642.3    -1.80116
   0.0271765      4862.3     14239.2    -2.08277
   0.0283839     4714.66     13806.8    -2.40122
   0.0296449     4557.57     13346.7    -2.75891
   0.0309619     4392.25     12862.6    -3.15859
   0.0323375     4223.19     12367.5    -3.60801
   0.0337741     4060.68     11891.6    -4.12286
   0.0352746     3912.21     11456.8    -4.71933
   0.0368417     3769.46     11038.7    -5.39925
   0.0384785     3619.72     10600.2    -6.15611
    0.040188     3462.98     10141.1    -6.99169
   0.0419734     3307.29     9685.17    -7.92447
   0.0438381      3159.8     9253.21    -8.98278
   0.0457857      3026.6      8863.1    -10.2075
   0.0478198     2911.31     8525.43    -11.6393
   0.0499443     2812.22      8235.2    -13.3249
   0.0521632     2725.24     7980.43    -15.2975
   0.0544806     2646.42     7749.53    -17.5826
    0.056901     2571.29     7529.46    -20.2114
   0.0594289     2495.83     7308.39    -23.1861
   0.0620692     2416.84     7076.97    -26.5037
   0.0648267      2331.8     6827.82    -30.1424
   0.0677067     2240.73     6561.03    -34.0542
   0.0707147      2143.5     6276.15    -38.2103
   0.0738564      2037.7     5966.22    -42.3879
   0.0771375     1920.18     5621.91    -46.2998
   0.0805645     1792.15     5246.87    -49.5376
   0.0841437     1658.59     4855.63    -51.6771
    0.087882     1525.68     4466.29    -52.2759
   0.0917863     1401.14      4101.5      -50.85
   0.0958641     1291.63     3780.71    -47.6868
    0.100123     1199.16      3509.9    -45.1624
    0.104571     1125.16      3293.5    -42.3628
    0.109217     1071.41     3136.73    -33.4561
    0.114069     1030.55      3017.8    -24.0857
    0.119137     995.349     2915.32     -16.598
     0.12443     957.225     2804.17    -11.2629
    0.129958     909.324     2664.26    -7.00158
    0.135731     850.955     2493.62    -2.89293
    0.141761     783.561     2296.49     1.99412
    0.148059     713.337        2091     7.54083
        0.15     693.088     2031.73     9.16512
    0.154637     649.144     1903.05     12.1993
    0.157895     622.217     1824.15     13.6564
    0.161507     596.046     1747.43     14.4562
    0.165789     569.955     1670.87     14.2556
    0.168682      555.22     1627.59     13.2899
    0.173684     534.015     1565.24     10.2574
    0.176176     524.782     1538.07     8.31282
    0.181579     505.932     1482.59     3.83352
    0.184003      497.35     1457.35     2.09701
    0.189474     476.614     1396.45   -0.675067
    0.192178     465.747     1364.58    -1.33797
    0.197368     444.208     1301.45     -1.4933
    0.200716     430.083     1260.07    -0.86877
    0.205263     410.867     1203.81    0.556505
    0.209633     392.803     1150.92     2.45368
    0.213158     378.838     1110.05     4.22125
    0.218946     357.561     1047.76     6.86292
    0.221053     350.453     1026.93     7.55649
    0.228673     328.189     961.632     7.97081
    0.228947     327.488     959.573     7.91419
    0.236842     309.286     906.052     4.70518
    0.238833     305.149     893.878     3.57718
    0.244737     293.403     859.315    0.219848
    0.249443     284.184     832.226    -1.77425
    0.252632     277.865     813.689    -2.48613
    0.260525     262.234     767.922    -2.26735
    0.260526     262.231     767.915    -2.26715
    0.268421     247.135     723.779   -0.410018
    0.272099     240.426     704.165    0.556375
    0.276316     233.101     682.743     1.48775
    0.284188     220.424     645.628     2.32694
    0.284211      220.39     645.527      2.3279
    0.292105     208.859     611.733     2.29909
    0.296814     202.457     592.957     2.02201
         0.3      198.31     580.795     1.77382
        0.31     186.086     544.948     1.03934
        0.01     2090.63  -0.0289633 -0.00792239
   0.0104443     2124.34  -0.0350359 -0.00957596
   0.0109083     2156.01  -0.0423663  -0.0115775
   0.0113929     2185.27  -0.0511948  -0.0139992
    0.011899     2211.94  -0.0617942  -0.0169229
   0.0124277     2235.72  -0.0744605  -0.0204354
   0.0129798     2256.37  -0.0895176  -0.0246266
   0.0135564      2273.7   -0.107327  -0.0295896
