#          k           1          b1       b1*b1
        0.01     1829.32     7653.07     14407.7
   0.0104762     1860.84     7784.95       14656
    0.010975     1890.24     7907.94     14887.5
   0.0114976     1917.25     8020.93     15100.2
    0.012045     1941.58     8122.73     15291.9
   0.0126186     1962.95     8212.14     15460.2
   0.0132194     1981.11      8288.1     15603.2
   0.0138489     1995.88     8349.87     15719.5
   0.0145083     2006.91     8396.03     15806.4
   0.0151991     2013.46     8423.45       15858
   0.0159228     2015.25     8430.91     15872.1
    0.016681     2013.85     8425.05       15861
   0.0174753     2010.88     8412.66     15837.7
   0.0183074     2004.29     8385.07     15785.8
   0.0191791     1990.63     8327.93     15678.2
   0.0200923      1968.9     8237.04     15507.1
    0.021049     1939.56     8114.28       15276
   0.0220513     1904.04     7965.69     14996.2
   0.0231013     1864.75      7801.3     14686.8
   0.0242013     1822.77     7625.66     14356.1
   0.0253536     1777.37     7435.74     13998.5
   0.0265609     1727.99     7229.16     13609.6
   0.0278256     1674.58     7005.71       13189
   0.0291505     1617.26     6765.92     12737.5
   0.0305386     1556.43     6511.41     12258.4
   0.0319927     1493.29     6247.26     11761.1
    0.033516     1431.64     5989.34     11275.6
   0.0351119     1375.46     5754.32     10833.1
   0.0367838     1322.11     5531.14     10412.9
   0.0385353     1266.18     5297.15     9972.43
   0.0403702     1207.58     5051.97     9510.86
   0.0422924     1149.75     4810.04     9055.41
   0.0443062     1095.67      4583.8     8629.48
   0.0464159     1047.84      4383.7     8252.77
    0.048626     1007.24     4213.85        7933
   0.0509414     972.545      4068.7     7659.76
    0.053367     942.055     3941.15     7419.62
   0.0559081     913.998     3823.77     7198.64
   0.0585702     886.457     3708.55     6981.73
   0.0613591     858.025      3589.6      6757.8
   0.0642807     827.403     3461.49     6516.62
   0.0673415     794.398     3323.42     6256.67
    0.070548     759.009     3175.36     5977.95
   0.0739072     720.266     3013.28     5672.81
   0.0774264     676.781     2831.36     5330.33
   0.0811131     629.086     2631.82     4954.68
   0.0849753     579.296     2423.52     4562.53
   0.0890215     530.065     2217.56     4174.79
   0.0932603     484.649     2027.56     3817.09
    0.097701     445.543     1863.96     3509.09
    0.102353      413.66     1730.57     3257.98
    0.107227     389.125     1627.93     3064.74
    0.112332     370.489     1549.96     2917.97
    0.117681     355.451     1487.05     2799.53
    0.123285     340.716     1425.41     2683.47
    0.129155     322.694     1350.01     2541.54
    0.135305     300.496     1257.15     2366.71
    0.141747     274.419     1148.05     2161.32
    0.148497     247.034     1033.48     1945.64
        0.15     241.333     1009.63     1900.74
    0.155568     222.439     930.586     1751.92
    0.157895     215.613     902.031     1698.17
    0.162975     202.885     848.783     1597.92
    0.165789     197.106     824.606     1552.41
    0.170735     189.026     790.802     1488.77
    0.173684     185.176     774.696     1458.45
    0.178865     179.368     750.399      1412.7
    0.181579     176.476     738.298     1389.92
    0.187382     169.718     710.028      1336.7
    0.189474     167.003     698.669     1315.32
    0.196304     157.352     658.294     1239.31
    0.197368     155.767     651.659     1226.82
    0.205263     143.666     601.034     1131.51
    0.205651     143.065     598.522     1126.78
    0.213158     131.712     551.025     1037.36
    0.215443     128.446     537.364     1011.64
    0.221053     121.089     506.583     953.696
    0.225702     115.941     485.048     913.153
    0.228947     112.944     472.508     889.545
    0.236449      107.43     449.441     846.119
    0.236842      107.18     448.393     844.147
    0.244737     102.496     428.799     807.259
    0.247708     100.737     421.438     793.401
    0.252632      97.586     408.257     768.587
    0.259502     92.7905     388.195     730.817
    0.260526      92.054     385.114     725.017
    0.268421     86.3784     361.369     680.315
    0.271859     83.9922     351.387     661.522
    0.276316     81.0714     339.167     638.518
    0.284211     76.4553     319.856     602.161
    0.284804     76.1344     318.513     599.634
    0.292105     72.4341     303.033     570.491
    0.298365     69.5686     291.045     547.922
         0.3     68.8566     288.066     542.314
    0.312572     63.7323     266.628     501.955
    0.327455      58.301     243.906     459.179
    0.343047     53.1807     222.485     418.851
    0.359381     48.3524     202.285     380.823
    0.376494     43.9036     183.674     345.784
    0.394421     39.8871      166.87      314.15
    0.413201     36.2644     151.714     285.618
    0.432876      32.975     137.953     259.711
    0.453488     29.9594     125.337      235.96
    0.475081     27.1584     113.619     213.899
    0.497702     24.5799     102.832     193.591
    0.521401     22.2442     93.0602     175.195
    0.546228      20.136     84.2402     158.591
    0.572237     18.2174     76.2136      143.48
    0.599484     16.4682     68.8956     129.703
    0.628029     14.8772     62.2397     117.173
    0.657933     13.4329     56.1976     105.798
    0.689261     12.1226     50.7156     95.4774
    0.722081     10.9335      45.741     86.1121
    0.756463     9.85601     41.2332     77.6258
    0.792483      8.8794     37.1475     69.9341
    0.830218     7.99593     33.4515     62.9759
    0.869749     7.19624     30.1059     56.6776
    0.911163      6.4739      27.084     50.9884
    0.954548     5.82092     24.3522     45.8455
           1     5.23176     21.8874     41.2053
        0.01     5226.62     15306.1           0
   0.0104762     5316.69     15569.9           0
    0.010975     5400.69     15815.9           0
   0.0114976     5477.85     16041.9           0
    0.012045     5547.38     16245.5           0
   0.0126186     5608.44     16424.3           0
   0.0132194     5660.32     16576.2           0
   0.0138489      5702.5     16699.7           0
   0.0145083     5734.02     16792.1           0
   0.0151991     5752.75     16846.9           0
   0.0159228     5757.85     16861.8           0
    0.016681     5753.85     16850.1           0
   0.0174753     5745.38     16825.3           0
   0.0183074     5726.54     16770.1           0
   0.0191791     5687.52     16655.9           0
   0.0200923     5625.44     16474.1           0
    0.021049     5541.61     16228.6           0
   0.0220513     5440.12     15931.4           0
   0.0231013     5327.86     15602.6           0
   0.0242013     5207.91     15251.3           0
   0.0253536      5078.2     14871.5           0
   0.0265609     4937.11     14458.3           0
   0.0278256     4784.51     14011.4           0
   0.0291505     4620.75     13531.8           0
   0.0305386     4446.93     13022.8           0
   0.0319927     4266.53     12494.5           0
    0.033516     4090.39     11978.7           0
   0.0351119     3929.88     11508.6           0
   0.0367838     3777.46     11062.3           0
   0.0385353     3617.66     10594.3           0
   0.0403702     3450.22     10103.9           0
   0.0422924     3284.99     9620.09           0
   0.0443062     3130.48     9167.61           0
   0.0464159     2993.82      8767.4           0
    0.048626     2877.82     8427.69           0
   0.0509414      2778.7     8137.41           0
    0.053367     2691.59      7882.3           0
   0.0559081     2611.42     7647.54           0
   0.0585702     2532.73      7417.1           0
   0.0613591      2451.5      7179.2           0
   0.0642807     2364.01     6922.99           0
   0.0673415     2269.71     6646.83           0
    0.070548      2168.6     6350.72           0
   0.0739072      2057.9     6026.55           0
   0.0774264     1933.66     5662.72           0
   0.0811131     1797.39     5263.64           0
   0.0849753     1655.13     4847.04           0
   0.0890215     1514.47     4435.12           0
   0.0932603     1384.71     4055.12           0
    0.097701     1272.98     3727.92           0
    0.102353     1181.88     3461.14           0
    0.107227     1111.78     3255.86           0
    0.112332     1058.54     3099.93           0
    0.117681     1015.58     2974.11           0
    0.123285     973.474     2850.81           0
    0.129155     921.984     2700.03           0
    0.135305     858.561     2514.29           0
    0.141747     784.054      2296.1           0
    0.148497     705.812     2066.97           0
        0.15     689.523     2019.26           0
    0.155568     635.539     1861.17           0
    0.157895     616.037     1804.06           0
    0.162975     579.672     1697.57           0
    0.165789      563.16     1649.21           0
    0.170735     540.074      1581.6           0
    0.173684     529.075     1549.39           0
    0.178865     512.481      1500.8           0
    0.181579     504.217      1476.6           0
    0.187382      484.91     1420.06           0
    0.189474     477.153     1397.34           0
    0.196304     449.578     1316.59           0
    0.197368     445.047     1303.32           0
    0.205263     410.473     1202.07           0
    0.205651     408.758     1197.04           0
    0.213158      376.32     1102.05           0
    0.215443      366.99     1074.73           0
    0.221053     345.968     1013.17           0
    0.225702     331.261     970.096           0
    0.228947     322.697     945.015           0
    0.236449     306.943     898.881           0
    0.236842     306.228     896.787           0
    0.244737     292.846     857.599           0
    0.247708     287.819     842.876           0
    0.252632     278.817     816.514           0
    0.259502     265.116      776.39           0
    0.260526     263.011     770.227           0
    0.268421     246.795     722.739           0
    0.271859     239.978     702.774           0
    0.276316     231.633     678.335           0
    0.284211     218.444     639.711           0
    0.284804     217.527     637.026           0
    0.292105     206.955     606.066           0
    0.298365     198.768      582.09           0
         0.3     196.733     576.132           0
    0.312572     182.092     533.257           0
    0.327455     166.574     487.812           0
    0.343047     151.945      444.97           0
    0.359381      138.15     404.571           0
    0.376494     125.439     367.347           0
    0.394421     113.963      333.74           0
    0.413201     103.612     303.429           0
    0.432876     94.2142     275.906           0
    0.453488     85.5983     250.674           0
    0.475081     77.5954     227.238           0
    0.497702     70.2282     205.663           0
    0.521401      63.555      186.12           0
    0.546228     57.5314      168.48           0
    0.572237     52.0497     152.427           0
    0.599484     47.0519     137.791           0
    0.628029     42.5063     124.479           0
    0.657933     38.3798     112.395           0
    0.689261      34.636     101.431           0
    0.722081     31.2385     91.4819           0
    0.756463       28.16     82.4665           0
    0.792483     25.3697     74.2951           0
    0.830218     22.8455     66.9029           0
    0.869749     20.5607     60.2119           0
    0.911163     18.4969     54.1679           0
    0.954548     16.6312     48.7044           0
           1     14.9479     43.7748           0
        0.01     2090.65           0           0
   0.0104762     2126.68           0           0
    0.010975     2160.27           0           0
   0.0114976     2191.14           0           0
    0.012045     2218.95           0           0
   0.0126186     2243.37           0           0
   0.0132194     2264.13           0           0
   0.0138489        2281           0           0
   0.0145083     2293.61           0           0
   0.0151991      2301.1           0           0
   0.0159228     2303.14           0           0
    0.016681     2301.54           0           0
   0.0174753     2298.15           0           0
   0.0183074     2290.62           0           0
   0.0191791     2275.01           0           0
   0.0200923     2250.18           0           0
    0.021049     2216.64           0           0
   0.0220513     2176.05           0           0
   0.0231013     2131.14           0           0
   0.0242013     2083.16           0           0
   0.0253536     2031.28           0           0
   0.0265609     1974.85           0           0
   0.0278256      1913.8           0           0
   0.0291505      1848.3           0           0
   0.0305386     1778.77           0           0
   0.0319927     1706.61           0           0
    0.033516     1636.16           0           0
   0.0351119     1571.95           0           0
   0.0367838     1510.98           0           0
   0.0385353     1447.06           0           0
   0.0403702     1380.09           0           0
   0.0422924        1314           0           0
   0.0443062     1252.19           0           0
   0.0464159     1197.53           0           0
    0.048626     1151.13           0           0
   0.0509414     1111.48           0           0
    0.053367     1076.63           0           0
   0.0559081     1044.57           0           0
   0.0585702     1013.09           0           0
   0.0613591       980.6           0           0
   0.0642807     945.604           0           0
   0.0673415     907.884           0           0
    0.070548     867.439           0           0
   0.0739072     823.161           0           0
   0.0774264     773.464           0           0
   0.0811131     718.956           0           0
   0.0849753     662.052           0           0
   0.0890215     605.789           0           0
   0.0932603     553.885           0           0
    0.097701     509.192           0           0
    0.102353     472.754           0           0
    0.107227     444.714           0           0
    0.112332     423.416           0           0
    0.117681      406.23           0           0
    0.123285     389.389           0           0
    0.129155     368.794           0           0
    0.135305     343.424           0           0
    0.141747     313.622           0           0
    0.148497     282.325           0           0
        0.15     275.809           0           0
    0.155568     254.215           0           0
    0.157895     246.415           0           0
    0.162975     231.869           0           0
    0.165789     225.264           0           0
    0.170735      216.03           0           0
    0.173684      211.63           0           0
    0.178865     204.992           0           0
    0.181579     201.687           0           0
    0.187382     193.964           0           0
    0.189474     190.861           0           0
    0.196304     179.831           0           0
    0.197368     178.019           0           0
    0.205263     164.189           0           0
    0.205651     163.503           0           0
    0.213158     150.528           0           0
    0.215443     146.796           0           0
    0.221053     138.387           0           0
    0.225702     132.504           0           0
    0.228947     129.079           0           0
    0.236449     122.777           0           0
    0.236842     122.491           0           0
    0.244737     117.138           0           0
    0.247708     115.128           0           0
    0.252632     111.527           0           0
    0.259502     106.046           0           0
